省,年份,家谱数量
山西,1980,1
山西,1983,1
山西,1984,2
山西,1986,2
山西,1987,1
山西,1988,1
山西,1989,3
山西,1991,3
山西,1992,5
山西,1993,3
山西,1994,6
山西,1996,6
山西,1997,3
山西,1998,11
山西,1999,17
山西,2000,14
山西,2001,17
山西,2002,13
山西,2003,15
山西,2004,14
山西,2005,20
山西,2006,19
山西,2007,25
山西,2008,33
山西,2009,22
山西,2010,29
山西,2011,25
山西,2012,43
山西,2013,42
山西,2014,39
山西,2015,41
山西,2016,50
山西,2017,34
山西,2018,43
山西,2019,68
山西,2020,51
山西,2021,13
山西,2022,11
山西,2023,16
广东,1685,1
广东,1700,1
广东,1701,1
广东,1708,1
广东,1724,1
广东,1747,1
广东,1753,1
广东,1754,1
广东,1762,1
广东,1764,1
广东,1771,1
广东,1775,1
广东,1776,1
广东,1779,1
广东,1780,2
广东,1782,1
广东,1787,1
广东,1794,1
广东,1796,1
广东,1797,1
广东,1804,2
广东,1806,1
广东,1809,1
广东,1810,1
广东,1811,1
广东,1813,2
广东,1820,1
广东,1821,1
广东,1822,2
广东,1823,1
广东,1824,4
广东,1828,3
广东,1830,2
广东,1831,1
广东,1832,1
广东,1833,1
广东,1834,1
广东,1835,3
广东,1837,2
广东,1838,1
广东,1839,2
广东,1842,2
广东,1843,2
广东,1844,2
广东,1846,4
广东,1847,1
广东,1848,3
广东,1850,2
广东,1851,2
广东,1852,1
广东,1853,1
广东,1854,2
广东,1856,1
广东,1860,4
广东,1861,2
广东,1862,2
广东,1864,2
广东,1865,3
广东,1866,1
广东,1867,4
广东,1868,2
广东,1869,3
广东,1870,4
广东,1871,4
广东,1872,4
广东,1873,3
广东,1874,1
广东,1875,5
广东,1876,3
广东,1877,4
广东,1878,1
广东,1879,3
广东,1880,3
广东,1881,4
广东,1882,1
广东,1883,5
广东,1884,3
广东,1885,2
广东,1886,4
广东,1887,7
广东,1888,5
广东,1889,3
广东,1890,4
广东,1891,7
广东,1892,2
广东,1893,5
广东,1894,4
广东,1895,2
广东,1896,7
广东,1897,11
广东,1898,4
广东,1899,3
广东,1900,4
广东,1901,2
广东,1902,3
广东,1903,4
广东,1904,3
广东,1905,5
广东,1906,3
广东,1907,2
广东,1908,3
广东,1909,9
广东,1910,8
广东,1911,7
广东,1912,2
广东,1913,6
广东,1914,4
广东,1915,4
广东,1916,5
广东,1917,9
广东,1918,4
广东,1919,12
广东,1920,7
广东,1921,9
广东,1922,8
广东,1923,6
广东,1924,10
广东,1925,9
广东,1926,7
广东,1927,8
广东,1928,6
广东,1929,8
广东,1930,8
广东,1931,12
广东,1932,8
广东,1933,15
广东,1934,7
广东,1935,19
广东,1936,19
广东,1937,10
广东,1938,8
广东,1939,4
广东,1940,3
广东,1941,5
广东,1942,6
广东,1943,5
